title,published,deadline,source,category,location,region,ville,apply_email,apply_url,summary
Calendrier des examens officiels 2026 au Cameroun : toutes les dates,2026-06-08T16:06:27+01:00,,infospratiques,concours,,,,,,"Le calendrier des examens officiels 2026 au Cameroun est particulièrement dense entre mai et juillet. Que vous soyez candidat, parent ou enseignant, voici le récapitulatif complet et vérifié des dates d&rsquo;épreuves et de résultats pour le CEP, le FSLC, le Common Entrance, le BEPC, le GCE, le Prob"
"Résultats des examens 2026 au Cameroun : BEPC, Probatoire, Bac et GCE (dates et consultation)",2026-06-08T16:06:23+01:00,,infospratiques,concours,,,,,https://officedubac.cm/resultats/; https://epimexam.cm/; https://www.minesec.gov.cm/; https://camgceb.org/results/result-checker/,"Chaque année, des centaines de milliers de candidats camerounais attendent fébrilement la proclamation des résultats des examens officiels. Pour la session 2026 , les premiers résultats tombent dès le mois de juillet. Ce guide rassemble les dates officielles de publication et, surtout, vous explique"
Liste des Concours MINFOPRA avec Intégration Direct 2026,2026-06-08T11:42:49.373000+01:00,,cameroondesks,concours,,,,,https://play.google.com/store/apps/details?id=com.cameroondesk.myconcours,"A lire aussi:&nbsp; Listes des&nbsp;Concours directs&nbsp; Niveau BEPC session 2026 Le 4 juin 2026 , le Ministre de la Fonction Publique et de la Réforme Administrative a signé plusieurs arrêtés portant ouverture de concours directs pour le recrutement des personnels dans les corps de son départemen"
Concours ESSEC de Douala 2026,2026-06-08T09:20:45.530000+01:00,,cameroondesks,concours,,Littoral,Douala,,https://drive.google.com/file/d/1hCckk8pd5CcMH_8bsJGqippl3IZ6hC1n/view?usp=sharing; https://cutt.ly/1erkpXpm,Portant ouverture du concours d'entrée en première année de la Filière « Études Professionnelles Approfondies » (EPA ) à l'École Supérieure des Sciences Économiques et Commerciales ( ESSEC ) de l'Université de Douala pour l'année académique 2026/2027. Voici les points clés à retenir : Nombre de plac
"Concours CNFZV : 835 Auditeurs Libres cycle 1,2 et 3",2026-06-08T07:28:29.846000+01:00,,cameroondesks,concours,,,,,https://drive.google.com/file/d/1dFmA3eWo3KljbsldCRC4jAvZLV4DNlfh/view?usp=drivesdk,"&nbsp; Portant ouverture du concours des tests de recrutement Auditeurs Libres dans les Centres Nationaux de Formation Zootechnique et Vétérinaire de Maroua, Foumban et Jakiri au titre de l’année de formation 2026/2027. Téléchargez l'arrêté ici&nbsp; Launching a competitive entrance examination of t"
Test de sélection IETP 2026 : 100 postes d'Instituteurs de l'Enseignement Technique ouverts au Code du Travail,2026-06-07T10:28:14.510000+01:00,,cameroondesks,concours,,Centre,Yaoundé,,http://concoursonline.minfopra.gov.cm; http://www.minfopra.gov.cm; https://drive.google.com/file/d/1uSL4S5nC4MShoB88ZrrfnEKmVLyCyeEn/view?usp=sharing,"Par arrêté n° //000088 du 04 juin 2026 , le Ministre de la Fonction Publique et de la Réforme Administrative a ouvert un test de sélection pour le recrutement de 100 Instituteurs de l'Enseignement Technique et Professionnel (IETP) relevant du Code du Travail , au titre de l'exercice 2026. L'épreuve "
Concours CENAJES 2026/2027 : 60 places pour Maîtres d'EPS et Instructeurs de Jeunesse,2026-06-07T10:02:43.981000+01:00,,cameroondesks,concours,,,,,http://concoursonline.minfopra.gov.cm; http://www.minfopra.gov.cm; https://drive.google.com/file/d/110cZxxE7XLilyDlM2ec8lK33ijXY4gZd/view?usp=sharing; https://drive.google.com/file/d/18T63ST2fhq0w0JhICjQ4heu1F_2y4FY5/view?usp=sharing,"Par arrêtés n° //000069 et //000070 du 04 juin 2026 , le Ministre de la Fonction Publique et de la Réforme Administrative a ouvert deux concours de formation dans les Centres Nationaux de la Jeunesse et des Sports (CENAJES), au titre de l'année académique 2026/2027 . Au total, 60 places sont offerte"
Concours INJS Cameroun 2026/2027 : 40 places pour Conseillers de Jeunesse et Professeurs d'EPS,2026-06-07T09:41:56.011000+01:00,,cameroondesks,concours,,Centre,Yaoundé,,http://concoursonline.minfopra.gov.cm; http://www.minfopra.gov.cm; https://drive.google.com/file/d/1-fUcjND9mI0r5DOQjtuzC8v-hXDQLtwD/view?usp=sharing; https://drive.google.com/file/d/1k8k3rf60Uwm8whbF2KMp_fEQmSMlhwDz/view?usp=sharing,"Par arrêtés n° //000067 et //000068 du 04 juin 2026 , le Ministre de la Fonction Publique et de la Réforme Administrative a ouvert deux concours de formation à l'Institut National de la Jeunesse et des Sports (INJS) de Yaoundé, au titre de l'année académique 2026/2027 . Au total, 40 places sont offe"
Concours enseignants Fonction Publique Cameroun 2026 : 1 000 postes ouverts dans les deux sous-systèmes,2026-06-07T09:17:51.233000+01:00,,cameroondesks,concours,,,,,http://concoursonline.minfopra.gov.cm; http://www.minfopra.gov.cm; https://drive.google.com/file/d/1axTAmfVdZltl4WCT38SPYscuiU4-3CSs/view?usp=sharing; https://drive.google.com/file/d/1O27QElQ356E4uJHwfRo34kfWOXw-Fc3g/view?usp=sharing; https://drive.google.com/file/d/1VkhDHHjZak0zb_scPl-ZYhY4Pn5wW4tw/view?usp=sharing; https://drive.google.com/file/d/1nbBec_EHEhehS2HWpAf3hxaloLszEFhI/view?usp=sharing,"Concours professionnels d'enseignants 2026 : le MINFOPRA ouvre 1 000 postes dans les deux sous-systèmes Par arrêtés n° //000089 à //000092 du 04 juin 2026 , le Ministre de la Fonction Publique et de la Réforme Administrative a lancé quatre (4) concours directs pour le recrutement de 1 000 enseignant"
concours ESSUT Bertoua 2026,2026-06-06T20:40:47.640000+01:00,,cameroondesks,concours,,,,,https://drive.google.com/file/d/1afm-7_KOQvTxikJxxl7TjRAENoP0rDQJ/view?usp=sharing; https://cutt.ly/1erkpXpm,&nbsp;Portant Ouverture du concours d'entrée à l'École Supérieure des Sciences de l'Urbanisme et du Tourisme (ESSUT) de l'Université de Bertoua à Abong-Mbang pour l'année académique 2026/2027 Announcing the opening of the entrance examination to the Higher School of Urban Planning and Tourism Scienc
CONCOURS DE LA POLICE CAMEROUNAISE 2026: LES DATES PROBABLES DU LANCEMENT,2026-06-05T15:29:00+01:00,,cameroondesks,concours,,,,,,"Le mercredi 3 juin 2026, le Délégué Général à la Sûreté Nationale a signé les communiqués portant résultats définitifs des concours d'entrée à la Police camerounaise , mettant fin à plusieurs mois d'attente pour des milliers de candidats. Une question s'impose désormais : y aura-t-il un prochain con"
Listes provisoires de 40 Auditeurs de la 9 ème promotion de I'IEF-PR 2026/2027,2026-06-05T09:13:54.639000+01:00,,cameroondesks,concours,,,,,https://www.minfopra.gov.cm/images/2026/DDRHE/IEFPR/Liste_candidats_IEF-PR_GABON_2026.pdf; https://www.minfopra.gov.cm/images/2026/DDRHE/IEFPR/Rejet_Candidatures_Concours-du-06-juin-2026.pdf,"Listes provisoires des candidats autorisés ou non, à subir les épreuves écrites du 06 juin 2026 pour le recrutement spécial de 40 Auditeurs de la 9ème promotion de l'Institut de l'Economie et des Finances -Pôle Regional de Formation des Régies Financières de l'Afrique Centrale (IEF-PR), session 2026"
DAAD Helmut Schmidt Scholarship 2026 Germany (Fully Funded),2026-06-04T11:12:00+01:00,,cameroondesks,bourse,,,,,https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_helmut-schmidt-programme_information_about_the_master_s_courses.pdf; https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_helmut-schmidt-programme_list_of_countries.pdf; https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026397; https://cameroondeskacademy.com/le-guide-complet-pour-obtenir-une-bourse-d-etude/,DAAD Helmut Schmidt Scholarship 2026 Germany DAAD Announced Helmut Schmidt Scholarship 2026 in Germany. Work Experience is NOT required to apply for it. The DAAD Helmut Schmidt Scholarship 2026 is a Fully Funded Scholarship in Germany for international students. Applicants can apply for the Fully Fu
African Union Internship Program 2026,2026-06-04T11:03:00+01:00,2026-12-31,cameroondesks,bourse,,,,,https://au.int; https://jobs.au.int/job/Programme-de-stages/1506-fr_FR/,"African Union Internship Program 2026 The African Union (AU) 🌍 has launched its 2026 internship program , offering young professionals the opportunity to gain valuable experience within the pan-African organization . This program aims to strengthen participants' personal and professional skills whil"
Programme Stages Union Africaine 2026 : Postulez avant 31 Décembre,2026-06-04T09:16:00+01:00,,cameroondesks,bourse,,,,,https://jobs.au.int/job/Programme-de-stages/1506-fr_FR/; https://au.int; https://jobs.au.int,".cd-card-block{border:1px solid #e5e7eb;border-radius:8px;background:#fff;margin:24px 0;overflow:hidden;font-family:-apple-system,Roboto,Arial,sans-serif;box-shadow:0 1px 2px rgba(0,0,0,0.04)} .cd-card-header{padding:14px 18px;font-weight:700;font-size:15px;color:#fff;background:#008751} .cd-card-he"
Résultats Définitifs Concours Police 2024/2025 - DGSN Cameroun,2026-06-03T21:35:41.533000+01:00,,cameroondesks,concours,,,,,https://drive.google.com/file/d/1YlYZ1ivFFdITPZZmxLwuwWDaYkXLPbC1/view?usp=sharing; https://drive.google.com/file/d/1Sc8dMrU9pJaAMD_FcjnC7xjxvyhXbV--/view?usp=sharing; https://drive.google.com/file/d/1ZHh1pZc2RpIIBB0qlIkh8Wowa9TV0KVr/view?usp=sharing; https://drive.google.com/file/d/1UWNFCyS79WAGvDO3m6Haat7IhF4D5po3/view?usp=sharing; https://drive.google.com/file/d/1QcjmK7t1a3iXncLgTrizv0HygOh7q2yh/view?usp=sharing; https://drive.google.com/file/d/1KpVehf_bk5rBgb1O4ZGoe4UfTbJyxMt5/view?usp=sharing; https://drive.google.com/file/d/1UOWENNi0yVVZgdXN3fxwQ7gJ1Wf6Gm6e/view?usp=sharing; https://drive.google.com/file/d/1SThWQChRD1FlIdb22he7fBWxD0zJnwhi/view?usp=sharing,"C'est enfin le moment tant attendu ! La Délégation Générale à la Sûreté Nationale (DGSN) vient de rendre publics les communiqués portant admission définitive des candidats aux différents corps de la Police Camerounaise. Après les épreuves écrites, les visites médicales approfondies et les enquêtes d"
